2026-08-19 22:28:33 | INFO     | main | <module>:108 | Backend ready — HTTP + Socket.IO mounted
2026-08-19 22:28:43 | INFO     | prompts.templates | _load_prompts:31 | Loaded 9 prompts from prompts.yaml
2026-08-19 22:28:43 | INFO     | services.llm_service | __init__:29 | LLMService ready (model=llama3.1:latest, embeddings=nomic-embed-text:latest, base_url=http://localhost:11434, temperature=0.0)
2026-08-19 22:28:43 | INFO     | services.vector_service | __init__:51 | VectorService ready (persist=/home/selva/Documents/Production/Corporate_Filing_Analyzer_Agent/backend/data/chroma_db, chunk_size=1000, overlap=200)
2026-08-19 22:28:43 | INFO     | services.router_service | __init__:21 | RouterService ready (8 categories)
2026-08-19 22:28:43 | INFO     | services.analysis_service | __init__:22 | AnalysisService ready (8 categories)
2026-08-19 22:28:43 | INFO     | graph.builder | build_graph:64 | Filing graph compiled with 8 analysis nodes
2026-08-19 22:28:43 | INFO     | services.chat_service | __init__:42 | ChatService ready
2026-08-19 22:28:43 | INFO     | main | <module>:108 | Backend ready — HTTP + Socket.IO mounted
2026-08-19 22:45:39 | DEBUG    | services.vector_service | ingest_file:70 | Ingesting apex_10k.txt (2417 bytes) into chat chat-A
2026-08-19 22:45:39 | DEBUG    | services.vector_service | _store:129 | Opened collection for chat chat-A
2026-08-19 22:45:40 | INFO     | services.vector_service | ingest_file:90 | Ingested apex_10k.txt -> 3 chunks (chat=chat-A)
2026-08-19 22:45:40 | INFO     | main | upload_file:89 | Uploaded apex_10k.txt -> 3 chunks
2026-08-19 22:45:40 | INFO     | api.socket_handler | connect:24 | Client connected: 12zqEl1ao_PN2SbwAAAB
2026-08-19 22:45:40 | INFO     | api.socket_handler | query:42 | Query from 12zqEl1ao_PN2SbwAAAB (chat=chat-A): 'What was total revenue and net income for Apex Financial Holdings?'
2026-08-19 22:45:40 | INFO     | services.chat_service | query_stream:80 | Run cbcf55cb31334b5bbd963bc7493f6330 started: 'What was total revenue and net income for Apex Financial Holdings?' (session=chat-A)
2026-08-19 22:45:40 | INFO     | services.vector_service | search:104 | Retrieved 3 chunk(s) for 'What was total revenue and net income for Apex Fin' (chat=chat-A)
2026-08-19 22:45:40 | DEBUG    | graph.nodes | retrieve:64 | Retrieved 2416 chars of context from 3 chunk(s)
2026-08-19 22:45:40 | DEBUG    | services.llm_service | ainvoke:39 | LLM call with 1 message(s)
2026-08-19 22:45:44 | DEBUG    | services.llm_service | ainvoke:43 | LLM replied with 21 characters
2026-08-19 22:45:44 | INFO     | services.router_service | classify:42 | Routed 'What was total revenue and net income for Apex Financial Hol' -> financials
2026-08-19 22:45:44 | DEBUG    | services.router_service | classify:43 | Router raw reply: 'assistant\n\nfinancials'
2026-08-19 22:45:44 | INFO     | graph.nodes | node:85 | Running Financials analysis
2026-08-19 22:45:44 | DEBUG    | services.analysis_service | analyze:27 | Analyzing category=financials (context=2416 chars, query='What was total revenue and net income for Apex Financial Hol')
2026-08-19 22:45:44 | DEBUG    | services.llm_service | ainvoke:39 | LLM call with 2 message(s)
2026-08-19 22:45:54 | DEBUG    | services.llm_service | ainvoke:43 | LLM replied with 1981 characters
2026-08-19 22:45:54 | INFO     | services.analysis_service | analyze:34 | Analysis complete: category=financials, answer=1981 chars
2026-08-19 22:45:54 | INFO     | services.chat_service | query_stream:107 | Run cbcf55cb31334b5bbd963bc7493f6330 finished (category=financials)
2026-08-19 22:45:54 | INFO     | api.socket_handler | disconnect:28 | Client disconnected: 12zqEl1ao_PN2SbwAAAB
2026-08-19 22:45:54 | INFO     | api.socket_handler | connect:24 | Client connected: HHVf1s0q0fok4WXbAAAD
2026-08-19 22:45:54 | INFO     | api.socket_handler | query:42 | Query from HHVf1s0q0fok4WXbAAAD (chat=chat-B): 'What was total revenue and net income for Apex Financial Holdings?'
2026-08-19 22:45:54 | INFO     | services.chat_service | query_stream:80 | Run b96d862c1f544e058871e4a5ed82fd4a started: 'What was total revenue and net income for Apex Financial Holdings?' (session=chat-B)
2026-08-19 22:45:54 | DEBUG    | services.vector_service | _store:129 | Opened collection for chat chat-B
2026-08-19 22:45:54 | INFO     | services.vector_service | search:104 | Retrieved 0 chunk(s) for 'What was total revenue and net income for Apex Fin' (chat=chat-B)
2026-08-19 22:45:54 | INFO     | graph.nodes | retrieve:63 | No filing indexed for this chat — answering without context
2026-08-19 22:45:54 | DEBUG    | graph.nodes | retrieve:64 | Retrieved 0 chars of context from 0 chunk(s)
2026-08-19 22:45:54 | DEBUG    | services.llm_service | ainvoke:39 | LLM call with 1 message(s)
2026-08-19 22:45:55 | DEBUG    | services.llm_service | ainvoke:43 | LLM replied with 21 characters
2026-08-19 22:45:55 | INFO     | services.router_service | classify:42 | Routed 'What was total revenue and net income for Apex Financial Hol' -> financials
2026-08-19 22:45:55 | DEBUG    | services.router_service | classify:43 | Router raw reply: 'assistant\n\nfinancials'
2026-08-19 22:45:55 | INFO     | graph.nodes | node:85 | Running Financials analysis
2026-08-19 22:45:55 | DEBUG    | services.analysis_service | analyze:27 | Analyzing category=financials (context=0 chars, query='What was total revenue and net income for Apex Financial Hol')
2026-08-19 22:45:55 | DEBUG    | services.llm_service | ainvoke:39 | LLM call with 2 message(s)
